natural_object artifact
nonvolatile_storage volatile_storage
obverse reverse
open_circuit closed_circuit
out-basket in-basket
outfield infield
overgarment undergarment
over-the-counter_drug prescription_drug
over-the-counter_medicine prescription_medicine
power_mower hand_mower
prescription_drug over-the-counter_drug
prescription_medicine over-the-counter_medicine
ready-made custom-made
rear front
reverse obverse
rotor stator
slow_lane fast_lane
smart_bomb dumb_bomb
soft_drug hard_drug
stabile mobile
starboard larboard
stator rotor
studio location
submersible surface_ship
surface_ship submersible
synergist antagonist
tail head
taper_file blunt_file
thermal_reactor fast_reactor
undergarment overgarment
volatile_storage non-volatile_storage
voltaic_cell electrolytic_cell
wet-bulb_thermometer dry-bulb_thermometer
wet_fly dry_fly
white black
outwardness inwardness
inwardness outwardness
otherworldliness worldliness
worldliness otherworldliness
extraversion ambiversion
introversion ambiversion
ambiversion extraversion
emotionality unemotionality
unemotionality emotionality
cheerfulness uncheerfulness
uncheerfulness cheerfulness
activeness inactiveness
inactiveness activeness
permissiveness unpermissiveness
unpermissiveness permissiveness
good_nature ill_nature
patience impatience
agreeableness disagreeableness
ill_nature good_nature
impatience patience
sharpness dullness
disagreeableness agreeableness
willingness unwillingness
unwillingness willingness
seriousness frivolity
frivolity seriousness
communicativeness uncommunicativeness
uncommunicativeness communicativeness
sociability unsociability
openness closeness
friendliness unfriendliness
approachability unapproachability
congeniality uncongeniality
neighborliness unneighborliness
hospitableness inhospitableness
unsociability sociability
unapproachability approachability
closeness openness
unfriendliness friendliness
uncongeniality congeniality
unneighborliness neighborliness
inhospitableness hospitableness
adaptability unadaptability
flexibility inflexibility
unadaptability adaptability
inflexibility flexibility
thoughtfulness unthoughtfulness
unthoughtfulness thoughtfulness
attentiveness inattentiveness
inattentiveness attentiveness
carefulness carelessness
mindfulness unmindfulness
heedfulness heedlessness
caution incaution
wariness unwariness
carelessness carefulness
incaution caution
unwariness wariness
unmindfulness mindfulness
heedlessness heedfulness
masculinity femininity
femininity masculinity
trustworthiness untrustworthiness
trustiness untrustiness
responsibility irresponsibility
responsibleness irresponsibleness
dependability undependability
dependableness undependableness
reliability unreliability
reliableness unreliableness
untrustworthiness trustworthiness
untrustiness trustiness
irresponsibility responsibility
irresponsibleness responsibleness
undependability dependability
undependableness dependableness
unreliability reliability
unreliableness reliableness
conscientiousness unconscientiousness
unconscientiousness conscientiousness
hairiness hairlessness
hairlessness hairiness
beauty ugliness
pleasingness unpleasingness
attractiveness unattractiveness
ugliness beauty
unpleasingness pleasingness
unattractiveness attractiveness
clarity opacity
distinctness indistinctness
sharpness softness
opacity clarity
indistinctness distinctness
softness sharpness
sharpness dullness
acuteness obtuseness
dullness sharpness
obtuseness acuteness
conspicuousness inconspicuousness
obtrusiveness unobtrusiveness
inconspicuousness conspicuousness
unobtrusiveness obtrusiveness
ease difficulty
effortlessness effortfulness
difficulty ease
effortfulness effortlessness
compatibility incompatibility
congruity incongruity
congruousness incongruousness
incompatibility compatibility
incongruity congruity
incongruousness congruousness
suitability unsuitability
suitableness unsuitableness
appropriateness inappropriateness
felicity infelicity
aptness inaptness
appositeness inappositeness
fitness unfitness
eligibility ineligibility
insurability uninsurability
ineligibility eligibility
uninsurability insurability
convenience inconvenience
opportuneness inopportuneness
accessibility inaccessibility
availability unavailability
unsuitability suitability
unsuitableness suitableness
inaptness aptness
inappositeness appositeness
inappropriateness appropriateness
infelicity felicity
unfitness fitness
inconvenience convenience
inaccessibility accessibility
unavailability availability
inopportuneness opportuneness
superiority inferiority
high_quality low_quality
inferiority superiority
low_quality high_quality
changeableness changelessness
reversibility irreversibility
inconstancy constancy
variability invariability
variableness invariableness
variedness unvariedness
exchangeability unexchangeability
convertibility inconvertibility
inconvertibility convertibility
changelessness changeableness
constancy inconstancy
irreversibility reversibility
invariability variability
invariableness variableness
unvariedness variedness
unexchangeability exchangeability
mutability immutability
mutableness immutableness
alterability unalterability
immutability mutability
immutableness mutableness
unalterability alterability
sameness difference
similarity dissimilarity
likeness unlikeness
similitude dissimilitude
uniformity nonuniformity
homogeneity heterogeneity
consistency inconsistency
equality inequality
equivalence nonequivalence
evenness unevenness
difference sameness
dissimilarity similarity
unlikeness likeness
dissimilitude similitude
nonuniformity uniformity
heterogeneity homogeneity
inconsistency consistency
inequality equality
nonequivalence equivalence
unevenness evenness
certainty uncertainty
conclusiveness inconclusiveness
predictability unpredictability
probability improbability
likelihood unlikelihood
likeliness unlikeliness
uncertainty certainty
inconclusiveness conclusiveness
unpredictability predictability
improbability probability
unlikelihood likelihood
unlikeliness likeliness
factuality counterfactuality
counterfactuality factuality
concreteness abstractness
tangibility intangibility
palpability impalpability
intangibility tangibility
impalpability palpability
materiality immateriality
corporeality incorporeality
substantiality insubstantiality
immateriality materiality
incorporeality corporeality
insubstantiality substantiality
abstractness concreteness
reality unreality
unreality reality
particularity generality
individuality commonality
generality particularity
commonality individuality
simplicity complexity
complexity simplicity
regularity irregularity
evenness unevenness
invariability variability
steadiness unsteadiness
irregularity regularity
unevenness evenness
variability invariability
unsteadiness steadiness
mobility immobility
motility immotility
movability immovability
movableness immovableness
looseness tightness
unsteadiness steadiness
instability stability
unstableness stableness
immobility mobility
immotility motility
immovability movability
immovableness movableness
tightness looseness
fixedness looseness
looseness fixedness
steadiness unsteadiness
stability instability
stableness unstableness
pleasantness unpleasantness
agreeableness disagreeableness
niceness nastiness
unpleasantness pleasantness
disagreeableness agreeableness
nastiness niceness
credibility incredibility
plausibility implausibility
incredibility credibility
implausibility plausibility
logicality illogicality
logicalness illogicalness
illogicality logicality
illogicalness logicalness
naturalness unnaturalness
unaffectedness affectedness
unpretentiousness pretentiousness
unnaturalness naturalness
affectedness unaffectedness
pretentiousness unpretentiousness
wholesomeness unwholesomeness
healthfulness unhealthfulness
salubrity insalubrity
salubriousness insalubriousness
unwholesomeness wholesomeness
unhealthfulness healthfulness
insalubrity salubrity
insalubriousness salubriousness
satisfactoriness unsatisfactoriness
adequacy inadequacy
acceptability unacceptability
admissibility inadmissibility
permissibility impermissibility
unsatisfactoriness satisfactoriness
inadequacy adequacy
unacceptability acceptability
inadmissibility admissibility
impermissibility permissibility
ordinariness extraordinariness
expectedness unexpectedness
commonness uncommonness
usualness unusualness
familiarity unfamiliarity
extraordinariness ordinariness
unexpectedness expectedness
uncommonness commonness
unusualness usualness
unfamiliarity familiarity
foreignness nativeness
nativeness foreignness
originality unoriginality
unorthodoxy orthodoxy
unconventionality conventionality
unoriginality originality
orthodoxy unorthodoxy
conventionality unconventionality
correctness incorrectness
rightness wrongness
incorrectness correctness
wrongness rightness
accuracy inaccuracy
exactness inexactness
preciseness impreciseness
precision imprecision
inaccuracy accuracy
inexactness exactness
impreciseness preciseness
imprecision precision
infallibility fallibility
inerrancy errancy
errancy inerrancy
fallibility infallibility
worthiness unworthiness
unworthiness worthiness
popularity unpopularity
unpopularity popularity
legality illegality
lawfulness unlawfulness
legitimacy illegitimacy
licitness illicitness
illegality legality
unlawfulness lawfulness
illegitimacy legitimacy
illicitness licitness
elegance inelegance
tastefulness tastelessness
inelegance elegance
rusticity urbanity
urbanity rusticity
tastelessness tastefulness
comprehensibility incomprehensibility
legibility illegibility
intelligibility unintelligibility
clarity obscurity
clearness unclearness
monosemy polysemy
unambiguity ambiguity
unequivocalness equivocalness
explicitness inexplicitness
incomprehensibility comprehensibility
illegibility legibility
obscurity clarity
unintelligibility intelligibility
unclearness clearness
inexplicitness explicitness
ambiguity unambiguity
equivocalness unequivocalness
polysemy monosemy
righteousness unrighteousness
piety impiety
godliness ungodliness
unrighteousness righteousness
impiety piety
ungodliness godliness
humaneness inhumaneness
mercifulness mercilessness
inhumaneness humaneness
mercilessness mercifulness
generosity stinginess
liberality illiberality
unselfishness selfishness
altruism egoism
stinginess generosity
illiberality liberality
selfishness unselfishness
egoism altruism
fairness unfairness
equity inequity
unfairness fairness
inequity equity
kindness unkindness
beneficence maleficence
benignity malignity
benignancy malignancy
consideration inconsideration
thoughtfulness thoughtlessness
tactfulness tactlessness
malignity benignity
malignancy benignancy
sensitivity insensitivity
sensitiveness insensitiveness
perceptiveness unperceptiveness
insensitivity sensitivity
insensitiveness sensitiveness
unperceptiveness perceptiveness
unkindness kindness
inconsideration consideration
thoughtlessness thoughtfulness
tactlessness tactfulness
maleficence beneficence
morality immorality
rightness wrongness
conscientiousness unconscientiousness
unconscientiousness conscientiousness
good evil
goodness evilness
justice injustice
right wrong
rightfulness wrongfulness
immorality morality
corruptibility incorruptibility
wrongness rightness
evil good
evilness goodness
corruptness incorruptness
injustice justice
wrong right
wrongfulness rightfulness
holiness unholiness
unholiness holiness
safeness dangerousness
dangerousness safeness
curability incurability
curableness incurableness
incurability curability
incurableness curableness
courage cowardice
stoutheartedness faintheartedness
fearlessness fearfulness
boldness timidity
gutsiness gutlessness
cowardice courage
faintheartedness stoutheartedness
fearfulness fearlessness
timidity boldness
gutlessness gutsiness
resoluteness irresoluteness
decisiveness indecisiveness
decision indecision
irresoluteness resoluteness
indecisiveness decisiveness
indecision decision
sincerity insincerity
insincerity sincerity
honorableness dishonorableness
honor dishonor
scrupulousness unscrupulousness
incorruptness corruptness
incorruptibility corruptibility
respectability unrespectability
reputability disreputability
honesty dishonesty
truthfulness untruthfulness
veracity mendacity
ingenuousness disingenuousness
artlessness artfulness
dishonorableness honorableness
dishonor honor
unscrupulousness scrupulousness
unrespectability respectability
disreputability reputability
dishonesty honesty
untruthfulness truthfulness
mendacity veracity
disingenuousness ingenuousness
artfulness artlessness
fidelity infidelity
faithfulness unfaithfulness
loyalty disloyalty
infidelity fidelity
unfaithfulness faithfulness
disloyalty loyalty
sophistication naivete
naivete sophistication
discipline indiscipline
restraint unrestraint
temperance intemperance
indiscipline discipline
unrestraint restraint
intemperance temperance
conceit humility
humility conceit
wisdom folly
folly wisdom
prudence imprudence
providence improvidence
imprudence prudence
improvidence providence
trust distrust
distrust trust
cleanliness uncleanliness
tidiness untidiness
uncleanliness cleanliness
untidiness tidiness
propriety impropriety
properness improperness
decorum indecorum
decorousness indecorousness
appropriateness inappropriateness
correctness incorrectness
political_correctness political_incorrectness
seemliness unseemliness
becomingness unbecomingness
decency indecency
modesty immodesty
impropriety propriety
improperness properness
incorrectness correctness
political_incorrectness political_correctness
inappropriateness appropriateness
indecorum decorum
indecorousness decorousness
unseemliness seemliness
unbecomingness becomingness
indecency decency
immodesty modesty
composure discomposure
discomposure composure
tractability intractability
tameness wildness
obedience disobedience
subordination insubordination
intractability tractability
wildness tameness
insubordination subordination
disobedience obedience
formality informality
ceremoniousness unceremoniousness
informality formality
unceremoniousness ceremoniousness
courtesy discourtesy
politeness impoliteness
graciousness ungraciousness
civility incivility
discourtesy courtesy
impoliteness politeness
ungraciousness graciousness
incivility civility
isotropy anisotropy
anisotropy isotropy
directness indirectness
immediacy mediacy
indirectness directness
mediacy immediacy
oldness newness
newness oldness
freshness staleness
oldness youngness
staleness freshness
youngness oldness
complex_instruction_set_computing reduced_instruction_set_computing
complex_instruction_set_computer reduced_instruction_set_computer
CISC RISC
reduced_instruction_set_computing complex_instruction_set_computing
reduced_instruction_set_computer complex_instruction_set_computer
RISC CISC
thickness thinness
thinness thickness
hardness softness
softness hardness
compressibility incompressibility
incompressibility compressibility
breakableness unbreakableness
unbreakableness breakableness
porosity solidity
permeability impermeability
penetrability impenetrability
perviousness imperviousness
absorbency nonabsorbency
solidity porosity
impermeability permeability
impenetrability penetrability
imperviousness perviousness
nonabsorbency absorbency
smoothness roughness
roughness smoothness
brightness dullness
dullness brightness
color colorlessness
colorlessness color
chromatic_color achromatic_color
achromatic_color chromatic_color
black white
white black
pigmentation depigmentation
depigmentation pigmentation
lightness darkness
darkness lightness
sound silence
silence sound
harmony dissonance
dissonance harmony
high_pitch low_pitch
low_pitch high_pitch
loudness softness
softness loudness
palatability unpalatability
appetizingness unappetizingness
unpalatability palatability
unappetizingness appetizingness
digestibility indigestibility
indigestibility digestibility
fatness leanness
leanness fatness
tallness shortness
shortness tallness
gracefulness awkwardness
awkwardness gracefulness
animateness inanimateness
sentience insentience
inanimateness animateness
insentience sentience
maleness femaleness
femaleness maleness
coldness hotness
hotness coldness
perceptibility imperceptibility
visibility invisibility
invisibility visibility
audibility inaudibility
inaudibility audibility
imperceptibility perceptibility
elasticity inelasticity
malleability unmalleability
flexibility inflexibility
inelasticity elasticity
unmalleability malleability
inflexibility flexibility
heaviness lightness
lightness heaviness
strength weakness
good_part weak_part
soundness unsoundness
invulnerability vulnerability
acidity alkalinity
alkalinity acidity
weakness strength
weak_part good_part
vulnerability invulnerability
destructibility indestructibility
indestructibility destructibility
earliness lateness
lateness earliness
priority posteriority
posteriority priority
punctuality tardiness
tardiness punctuality
seasonableness unseasonableness
timeliness untimeliness
unseasonableness seasonableness
untimeliness timeliness
pastness futurity
futurity pastness
presentness futurity
longness shortness
shortness longness
permanence impermanence
impermanence permanence
mortality immortality
immortality mortality
acceleration deceleration
deceleration acceleration
symmetry asymmetry
radial_symmetry radial_asymmetry
asymmetry symmetry
radial_asymmetry radial_symmetry
abruptness gradualness
gradualness abruptness
angularity roundness
pointedness unpointedness
unpointedness pointedness
roundness angularity
concentricity eccentricity
eccentricity concentricity
straightness crookedness
crookedness straightness
curliness straightness
straightness curliness
centrality marginality
marginality centrality
anteriority posteriority
posteriority anteriority
outwardness inwardness
inwardness outwardness
northernness southernness
southernness northernness
farness nearness
nearness farness
distribution concentration
concentration distribution
profundity superficiality
superficiality profundity
high low
low high
thickness thinness
thinness thickness
largeness smallness
bigness littleness
smallness largeness
littleness bigness
positivity negativity
positiveness negativeness
negativity positivity
negativeness positiveness
increase decrease
decrease increase
sufficiency insufficiency
adequacy inadequacy
insufficiency sufficiency
inadequacy adequacy
abundance scarcity
scarcity abundance
moderation immoderation
immoderation moderation
majority minority
minority majority
longness shortness
shortness longness
deepness shallowness
shallowness deepness
wideness narrowness
narrowness wideness
highness lowness
lowness highness
worth worthlessness
merit demerit
demerit merit
worthlessness worth
desirability undesirability
undesirability desirability
good bad
goodness badness
reward penalty
bad good
badness goodness
expensiveness inexpensiveness
inexpensiveness expensiveness
fruitfulness fruitlessness
productiveness unproductiveness
fruitlessness fruitfulness
unproductiveness productiveness
utility inutility
usefulness uselessness
inutility utility
uselessness usefulness
practicality impracticality
practicability impracticability
practicableness impracticableness
feasibility infeasibility
impracticality practicality
impracticability practicability
impracticableness practicableness
infeasibility feasibility
competence incompetence
incompetence competence
asset liability
advantage disadvantage
profitableness unprofitableness
profitability unprofitability
expedience inexpedience
expediency inexpediency
strong_point weak_point
weak_point strong_point
soundness unsoundness
unsoundness soundness
advisability inadvisability
favorableness unfavorableness
auspiciousness inauspiciousness
propitiousness unpropitiousness
liability asset
disadvantage advantage
unfavorableness favorableness
inauspiciousness auspiciousness
unpropitiousness propitiousness
penalty reward
inadvisability advisability
inexpedience expedience
inexpediency expediency
unprofitableness profitableness
unprofitability profitability
constructiveness destructiveness
destructiveness constructiveness
positivity negativity
positiveness negativeness
negativity positivity
negativeness positiveness
importance unimportance
significance insignificance
meaningfulness meaninglessness
purposefulness purposelessness
consequence inconsequence
essentiality inessentiality
indispensability dispensability
indispensableness dispensableness
unimportance importance
inessentiality essentiality
dispensability indispensability
dispensableness indispensableness
insignificance significance
meaninglessness meaningfulness
purposelessness purposefulness
inconsequence consequence
power powerlessness
powerfulness powerlessness
persuasiveness unpersuasiveness
interestingness uninterestingness
effectiveness ineffectiveness
efficacy inefficacy
ability inability
capability incapability
capableness incapableness
capacity incapacity
powerlessness power
unpersuasiveness persuasiveness
uninterestingness interestingness
inability ability
incapability capability
incapableness capableness
incapacity capacity
ineffectiveness effectiveness
inefficacy efficacy
infiniteness finiteness
finiteness infiniteness
solubility insolubility
insolubility solubility
optimism pessimism
pessimism optimism
responsiveness unresponsiveness
unresponsiveness responsiveness
solvability unsolvability
solubility insolubility
unsolvability solvability
insolubility solubility
extensor flexor
flexor extensor
effector receptor
receptor effector
cortex medulla
medulla cortex
judiciousness injudiciousness
injudiciousness judiciousness
ability inability
intelligence stupidity
aptitude inaptitude
capacity incapacity
capability incapability
perfectibility imperfectibility
creativeness uncreativeness
Heaven Hell
Hell Heaven
unconventionality conventionality
literacy illiteracy
skillfulness unskillfulness
coordination incoordination
incoordination coordination
fluency disfluency
disfluency fluency
efficiency inefficiency
inability ability
stupidity intelligence
inaptitude aptitude
incapability capability
imperfectibility perfectibility
incapacity capacity
unskillfulness skillfulness
inefficiency efficiency
illiteracy literacy
uncreativeness creativeness
conventionality unconventionality
kinesthesia kinanesthesia
kinanesthesia kinesthesia
merit_system spoils_system
spoils_system merit_system
consciousness unconsciousness
cognizance incognizance
incognizance cognizance
self-consciousness unselfconsciousness
unselfconsciousness self-consciousness
sensibility insensibility
waking sleeping
unconsciousness consciousness
insensibility sensibility
sleeping waking
certainty uncertainty
uncertainty certainty
attention inattention
attentiveness inattentiveness
inattention attention
inattentiveness attentiveness
experience inexperience
analysis synthesis
synthesis analysis
inwardness outwardness
outwardness inwardness
convergent_thinking divergent_thinking
divergent_thinking convergent_thinking
comprehension incomprehension
incomprehension comprehension
particular general
specific general
general particular
conception misconception
type antitype
antitype type
convergence divergence
convergency divergency
divergence convergence
divergency convergency
beginning end
middle beginning
end beginning
pleasure_principle reality_principle
reality_principle pleasure_principle
misconception conception
yang yin
yin yang
figure ground
ground figure
belief unbelief
apophatism cataphatism
cataphatism apophatism
doctrine_of_analogy apophatism
formalism imitation
imitation formalism
internationalism nationalism
monism pluralism
multiculturalism nationalism
nationalism internationalism
nationalism internationalism
pluralism monism
environmentalism hereditarianism
hereditarianism environmentalism
unbelief belief
enlightenment unenlightenment
inexperience experience
unenlightenment enlightenment
closed_interval open_interval
open_interval closed_interval
eugenics dysgenics
dysgenics eugenics
atomism holism
holism atomism
wave_theory corpuscular_theory
wave_theory_of_light corpuscular_theory_of_light
corpuscular_theory wave_theory
corpuscular_theory_of_light wave_theory_of_light
classicism Romanticism
Romanticism classicism
descriptive_linguistics prescriptive_linguistics
prescriptive_linguistics descriptive_linguistics
Arianism Athanasianism
Athanasianism Arianism
partiality impartiality
unfairness fairness
impartiality partiality
fairness unfairness
tolerance intolerance
broad-mindedness narrow-mindedness
intolerance tolerance
narrow-mindedness broad-mindedness
respect disrespect
disrespect respect
reverence irreverence
irreverence reverence
orthodoxy unorthodoxy
conformity nonconformity
conformism nonconformism
unorthodoxy orthodoxy
nonconformity conformity
nonconformism conformism
dovishness hawkishness
hawkishness dovishness
atheism theism
theism atheism
monotheism polytheism
polytheism monotheism
recto verso
verso recto
snail_mail e-mail
electronic_mail snail_mail
e-mail snail_mail
email snail_mail
antonym synonym
plural singular
singular plural
synonym antonym
nominative oblique
oblique nominative
construction misconstruction
misconstruction construction
proper_noun common_noun
common_noun proper_noun
flashback flash-forward
flash-forward flashback
trade_edition text_edition
text_edition trade_edition
software hardware
object_program source_program
source_program object_program
euphemism dysphemism
dysphemism euphemism
air_mail surface_mail
surface_mail air_mail
hospitality inhospitality
inhospitality hospitality
pro con
con pro
intervention nonintervention
interference noninterference
nonintervention intervention
noninterference interference
approval disapproval
approbation disapprobation
encouragement discouragement
disapproval approval
disapprobation approbation
truth falsehood
direct_evidence circumstantial_evidence
circumstantial_evidence direct_evidence
particular universal
particular_proposition universal_proposition
universal particular
universal_proposition particular_proposition
categorem syncategorem
categoreme syncategoreme
syncategorem categorem
syncategoreme categoreme
falsehood truth
overstatement understatement
understatement overstatement
indication contraindication
contraindication indication
Arabic_numeral Roman_numeral
Roman_numeral Arabic_numeral
superscript subscript
subscript superscript
uppercase lowercase
lowercase uppercase
fixed-width_font proportional_font
proportional_font fixed-width_font
modern old_style
old_style modern
tonality atonality
atonality tonality
artificial_language natural_language
multidimensional_language one-dimensional_language
one-dimensional_language multidimensional_language
stratified_language unstratified_language
unstratified_language stratified_language
natural_language artificial_language
comedy tragedy
tragedy comedy
monophony polyphony
monophonic_music polyphonic_music
polyphony monophony
polyphonic_music monophonic_music
preparation resolution
resolution preparation
augmentation diminution
diminution augmentation
terseness verboseness
verboseness terseness
vowel consonant
consonant vowel
stop_consonant continuant_consonant
continuant_consonant stop_consonant
indirect_discourse direct_discourse
direct_discourse indirect_discourse
agreement disagreement
disagreement agreement
question answer
answer question
affirmative negative
yes no
yea nay
negative affirmative
no yes
nay yea
persuasion dissuasion
dissuasion persuasion
discouragement encouragement
beginning ending
ending beginning
embarrassment disembarrassment
disembarrassment embarrassment
failure success
success failure
birth death
live_birth stillbirth
appearance disappearance
egress ingress
emersion immersion
ingress egress
immersion emersion
rise fall
disappearance appearance
death birth
decrease increase
increase decrease
gravitation levitation
levitation gravitation
fall rise
high_tide low_tide
low_tide high_tide
ebbtide flood_tide
flood_tide ebbtide
neap_tide springtide
springtide neap_tide
waxing waning
waning waxing
strengthening weakening
weakening strengthening
fall rise
cross-fertilization self-fertilization
allogamy autogamy
self-fertilization cross-fertilization
autogamy allogamy
cross-pollination self-pollination
self-pollination cross-pollination
dextrorotation levorotation
levorotation dextrorotation
rise fall
victory defeat
defeat victory
aphrodisia anaphrodisia
anaphrodisia aphrodisia
pleasure pain
pleasantness unpleasantness
pain pleasure
unpleasantness pleasantness
liking dislike
inclination disinclination
friendliness unfriendliness
approval disapproval
Anglophilia Anglophobia
philogyny misogyny
dislike liking
disinclination inclination
Anglophobia Anglophilia
unfriendliness friendliness
disapproval approval
gratitude ingratitude
ingratitude gratitude
concern unconcern
unconcern concern
pride humility
humility pride
levity gravity
gravity levity
agitation calmness
calmness agitation
fear fearlessness
diffidence confidence
fearlessness fear
confidence diffidence
happiness sadness
joy sorrow
euphoria dysphoria
cheerfulness cheerlessness
contentment discontentment
satisfaction dissatisfaction
sadness happiness
sorrow joy
cheerlessness cheerfulness
discontentment contentment
dysphoria euphoria
dissatisfaction satisfaction
hope despair
hopefulness hopelessness
optimism pessimism
despair hope
hopelessness hopefulness
pessimism optimism
love hate
benevolence malevolence
beneficence maleficence
hate love
misogyny philogyny
malevolence benevolence
maleficence beneficence
good_humor ill_humor
ill_humor good_humor
eating_apple cooking_apple
cooking_apple eating_apple
skim_milk whole_milk
whole_milk skim_milk
generic varietal
generic_wine varietal_wine
varietal generic
varietal_wine generic_wine
aged young
young aged
brave timid
timid brave
dead living
living dead
initiate uninitiate
uninitiate initiate
fauna flora
defense prosecution
prosecution defense
offense defense
offence defence
defense offense
defence offence
clergy laity
laity clergy
poor_people rich_people
poor rich
rich_people poor_people
rich poor
nonsingular_matrix singular_matrix
singular_matrix nonsingular_matrix
alignment nonalignment
nonalignment alignment
capitalism socialism
market_economy non-market_economy
non-market_economy market_economy
socialism capitalism
friendly hostile
hostile friendly
day_school boarding_school
boarding_school day_school
day_school night_school
night_school day_school
flora fauna
civil_law international_law
international_law civil_law
head rear
rear head
here there
there here
apex antapex
antapex apex
apogee perigee
apoapsis periapsis
point_of_apoapsis point_of_periapsis
aphelion perihelion
apojove perijove
aposelene periselene
apolune perilune
ascending_node descending_node
node antinode
antinode node
foot head
descending_node ascending_node
front rear
inside outside
inside outside
leeward windward
maximum minimum
minimum maximum
nadir zenith
windward leeward
outside inside
outside inside
periapsis apoapsis
point_of_periapsis point_of_apoapsis
perigee apogee
perihelion aphelion
perijove apojove
periselene aposelene
perilune apolune
right left
left right
back front
front back
rear front
rural_area urban_area
head foot
urban_area rural_area
zenith nadir
slave_state free_state
free_state slave_state
incentive disincentive
disincentive incentive
abience adience
adience abience
ascent descent
closed_chain open_chain
descent ascent
distributary tributary
tributary distributary
highland lowland
high_sea territorial_waters
international_waters territorial_waters
inessential essential
lowland highland
natural_depression natural_elevation
natural_elevation natural_depression
essential inessential
open_chain closed_chain
